Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.69      0.56     0.56     9960     0.06     0.07  subopt_1005d330()
  9.35      1.05     0.49  1357617     0.00     0.00  subopt_10062e20()
  9.35      1.54     0.49    25274     0.02     0.04  sub_10066dc0()
  8.40      1.98     0.44       86     5.12     5.12  sub_1004c750()
  6.49      2.32     0.34     7903     0.04     0.04  subopt_1005a9d0()
  5.53      2.61     0.29    18274     0.02     0.05  subopt_10062f90()
  4.77      2.86     0.25     4645     0.05     0.10  sub_100176d0()
  4.58      3.10     0.24    12000     0.02     0.02  sub_1006ff60_native(char*, float*, int)
  4.01      3.31     0.21    21738     0.01     0.01  sub_1005fc90()
  3.63      3.50     0.19  2969821     0.00     0.00  subopt_100685e0()
  3.24      3.67     0.17     5034     0.03     0.66  sub_10015160()
  2.48      3.80     0.13  5843051     0.00     0.00  fpuinsns::fldst(int)
  2.10      3.91     0.11 10581981     0.00     0.00  fpuinsns::fppop()
  1.91      4.01     0.10  4378113     0.00     0.00  fpuinsns::fppush(double)
  1.91      4.11     0.10      406     0.25     0.28  advapi32::readStr(unsigned int)
  1.34      4.18     0.07  5633464     0.00     0.00  fpuinsns::faddst(int)
  1.15      4.24     0.06    21738     0.00     0.00  subopt_10060380()
  1.15      4.30     0.06      400     0.15     1.26  sub_1006b050()
  0.95      4.35     0.05      800     0.06     0.06  sub_100704c0_native(unsigned char*)
  0.95      4.40     0.05      400     0.13     0.13  sub_10055bd0()
  0.76      4.44     0.04        3    13.33    13.33  loadOverlay(char const*, int)
  0.57      4.47     0.03   356658     0.00     0.00  fpuinsns::fstpst(int)
  0.57      4.50     0.03    37210     0.00     0.00  sub_100629a0()
  0.57      4.53     0.03     2935     0.01     0.01  sub_10026e60()
  0.57      4.56     0.03     2434     0.01     0.01  kernel32::readString(unsigned int)
  0.57      4.59     0.03     1593     0.02     0.04  sub_10004040()
  0.57      4.62     0.03      800     0.04     0.04  sub_10056490()
  0.57      4.65     0.03      400     0.08     0.08  sub_1005a700()
